"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2018","31.160","31.530","31.530","30.980","1.45M","-1.11%"
"01/03/2018","31.360","31.300","31.550","31.240","464.68K","0.64%"
"01/04/2018","32.350","31.570","32.380","31.540","1.42M","3.16%"
"01/05/2018","32.780","32.400","32.830","32.270","598.25K","1.33%"
"01/08/2018","32.500","32.840","32.940","32.500","521.68K","-0.85%"
"01/09/2018","32.690","32.550","32.870","32.450","980.75K","0.58%"
"01/10/2018","32.770","32.650","32.800","32.560","3.72M","0.24%"
"01/11/2018","32.420","32.810","32.830","32.290","622.79K","-1.07%"
"01/12/2018","32.510","32.400","32.710","32.230","680.30K","0.28%"
"01/15/2018","32.340","32.530","32.550","32.210","716.89K","-0.52%"
"01/16/2018","32.810","32.400","32.830","32.190","405.79K","1.45%"
"01/17/2018","32.620","32.710","32.830","32.490","591.82K","-0.58%"
"01/18/2018","32.600","32.650","32.780","32.440","357.26K","-0.06%"
"01/19/2018","32.600","32.510","32.690","32.380","1.57M","0.00%"
"01/22/2018","32.390","32.280","32.590","32.260","644.32K","-0.64%"
"01/23/2018","32.280","32.470","32.550","32.250","568.04K","-0.34%"
"01/24/2018","31.920","32.260","32.310","31.920","688.36K","-1.12%"
"01/25/2018","31.780","31.870","32.170","31.540","732.90K","-0.44%"
"01/26/2018","31.650","31.760","31.880","31.460","716.26K","-0.41%"
"01/29/2018","31.520","31.700","31.870","31.390","1.37M","-0.41%"
"01/30/2018","31.130","31.300","31.470","31.010","2.02M","-1.24%"
"01/31/2018","31.160","31.070","31.330","30.910","852.34K","0.10%"
"02/01/2018","31.260","31.250","31.490","30.930","661.95K","0.32%"
"02/02/2018","30.410","31.140","31.170","30.410","595.49K","-2.72%"
"02/05/2018","29.880","30.410","30.410","29.730","606.28K","-1.74%"
"02/06/2018","28.680","28.880","29.340","28.610","1.59M","-4.02%"
"02/07/2018","28.900","29.040","29.040","28.440","971.29K","0.77%"
"02/08/2018","27.730","28.620","28.640","27.580","1.65M","-4.05%"
