"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2018","60.220","59.950","60.220","59.150","810.97K","0.18%"
"01/03/2018","60.500","60.440","61.140","60.120","728.30K","0.46%"
"01/04/2018","61.820","60.740","62.020","60.700","868.91K","2.18%"
"01/05/2018","63.500","62.260","63.520","62.260","931.09K","2.72%"
"01/08/2018","62.960","63.740","63.900","62.880","616.45K","-0.85%"
"01/09/2018","63.680","62.960","63.840","62.920","529.82K","1.14%"
"01/10/2018","63.160","63.560","63.960","62.800","569.73K","-0.82%"
"01/11/2018","62.880","63.260","63.660","62.760","471.18K","-0.44%"
"01/12/2018","62.720","62.860","62.920","62.340","488.08K","-0.25%"
"01/15/2018","62.860","62.740","63.180","62.680","374.09K","0.22%"
"01/16/2018","62.840","62.780","63.320","62.620","515.42K","-0.03%"
"01/17/2018","62.720","62.540","62.900","62.500","467.40K","-0.19%"
"01/18/2018","62.460","62.980","63.060","62.120","647.83K","-0.41%"
"01/19/2018","62.980","62.280","63.080","62.280","467.43K","0.83%"
"01/22/2018","63.040","63.160","63.540","62.740","583.34K","0.10%"
"01/23/2018","64.000","63.440","64.200","62.960","637.41K","1.52%"
"01/24/2018","63.640","63.800","64.020","63.240","587.31K","-0.56%"
"01/25/2018","62.340","63.500","63.720","62.040","640.66K","-2.04%"
"01/26/2018","62.340","62.400","63.080","62.280","495.77K","0.00%"
"01/29/2018","62.040","62.160","62.300","61.600","524.00K","-0.48%"
"01/30/2018","61.880","61.700","62.380","61.640","626.47K","-0.26%"
"01/31/2018","62.480","61.740","62.660","61.720","711.63K","0.97%"
"02/01/2018","62.020","62.600","62.800","61.580","776.65K","-0.74%"
"02/02/2018","60.660","61.960","62.300","60.600","685.08K","-2.19%"
"02/05/2018","59.380","60.220","60.220","59.240","725.62K","-2.11%"
"02/06/2018","58.600","57.540","59.160","56.600","1.18M","-1.31%"
"02/07/2018","59.440","59.040","59.620","58.380","904.36K","1.43%"
"02/08/2018","57.660","59.040","59.140","57.360","948.27K","-2.99%"
"02/09/2018","57.380","57.240","58.100","57.140","718.54K","-0.49%"
"02/12/2018","57.840","57.840","58.400","57.600","561.08K","0.80%"
"02/13/2018","58.200","57.780","58.520","57.720","735.15K","0.62%"
"02/14/2018","58.560","58.440","58.960","57.900","806.20K","0.62%"
"02/15/2018","58.960","59.000","59.500","58.680","606.91K","0.68%"
"02/16/2018","59.460","59.300","59.980","59.220","726.10K","0.85%"
"02/19/2018","59.220","59.600","59.840","58.920","386.08K","-0.40%"
"02/20/2018","59.500","59.040","59.920","59.000","575.94K","0.47%"
"02/21/2018","59.800","59.220","60.000","59.120","554.23K","0.50%"
"02/22/2018","59.620","59.340","60.100","59.160","660.18K","-0.30%"
"02/23/2018","59.340","59.780","59.780","58.880","632.22K","-0.47%"
"02/26/2018","59.820","59.580","60.060","59.340","585.93K","0.81%"
"02/27/2018","60.020","60.060","60.180","59.120","786.58K","0.33%"
"02/28/2018","60.560","61.620","61.620","59.700","1.42M","0.90%"
"03/01/2018","58.500","59.700","60.540","58.420","1.15M","-3.40%"
"03/02/2018","56.900","58.100","58.140","56.860","1.15M","-2.74%"
"03/05/2018","57.360","56.860","57.640","56.700","659.64K","0.81%"
