"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2018","7.082","7.139","7.169","7.050","15.96M","-0.42%"
"01/03/2018","7.094","7.113","7.120","7.055","13.32M","0.17%"
"01/04/2018","7.221","7.113","7.274","7.104","20.79M","1.79%"
"01/05/2018","7.253","7.259","7.282","7.203","13.58M","0.44%"
"01/08/2018","7.235","7.274","7.293","7.220","13.42M","-0.25%"
"01/09/2018","7.262","7.227","7.284","7.217","12.95M","0.37%"
"01/10/2018","7.350","7.280","7.380","7.259","25.98M","1.21%"
"01/11/2018","7.344","7.349","7.450","7.297","20.97M","-0.08%"
"01/12/2018","7.448","7.391","7.448","7.359","20.46M","1.42%"
"01/15/2018","7.481","7.465","7.516","7.428","15.06M","0.44%"
"01/16/2018","7.477","7.478","7.510","7.439","15.20M","-0.05%"
"01/17/2018","7.398","7.400","7.457","7.331","17.96M","-1.06%"
"01/18/2018","7.379","7.420","7.429","7.345","13.56M","-0.26%"
"01/19/2018","7.400","7.375","7.448","7.354","14.38M","0.28%"
"01/22/2018","7.495","7.423","7.535","7.375","16.02M","1.28%"
"01/23/2018","7.490","7.530","7.569","7.450","15.62M","-0.07%"
"01/24/2018","7.480","7.478","7.533","7.455","12.64M","-0.13%"
"01/25/2018","7.601","7.483","7.601","7.481","17.01M","1.62%"
"01/26/2018","7.634","7.590","7.650","7.565","12.50M","0.43%"
"01/29/2018","7.643","7.659","7.674","7.594","14.15M","0.12%"
"01/30/2018","7.563","7.590","7.617","7.512","19.81M","-1.05%"
"01/31/2018","7.568","7.569","7.632","7.511","18.41M","0.07%"
"02/01/2018","7.458","7.680","7.730","7.420","23.91M","-1.45%"
"02/02/2018","7.354","7.450","7.467","7.292","18.03M","-1.39%"
"02/05/2018","7.255","7.286","7.322","7.212","18.56M","-1.35%"
"02/06/2018","7.085","7.100","7.230","7.030","31.71M","-2.34%"
"02/07/2018","7.227","7.195","7.268","7.087","23.09M","2.00%"
"02/08/2018","7.131","7.193","7.287","7.098","23.71M","-1.33%"
"02/09/2018","7.009","7.067","7.098","6.928","29.36M","-1.71%"
"02/12/2018","7.097","7.084","7.153","7.053","17.87M","1.26%"
"02/13/2018","6.998","7.102","7.124","6.984","16.12M","-1.39%"
"02/14/2018","6.968","7.061","7.077","6.915","18.54M","-0.43%"
"02/15/2018","6.993","7.060","7.140","6.968","17.16M","0.36%"
"02/16/2018","7.059","7.057","7.077","6.974","20.08M","0.94%"
"02/19/2018","7.022","7.085","7.117","7.022","10.23M","-0.52%"
"02/20/2018","7.026","7.011","7.071","6.975","16.49M","0.06%"
"02/21/2018","6.970","7.012","7.030","6.936","14.14M","-0.80%"
"02/22/2018","6.970","6.930","6.978","6.852","20.96M","0.00%"
"02/23/2018","6.910","6.967","6.968","6.890","18.45M","-0.86%"
