"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2018","5.876","5.966","5.973","5.876","22.27M","-0.88%"
"01/03/2018","5.912","5.888","5.912","5.868","44.33M","0.61%"
"01/04/2018","6.114","5.912","6.114","5.908","59.18M","3.42%"
"01/05/2018","6.183","6.121","6.194","6.075","20.36M","1.13%"
"01/08/2018","6.130","6.194","6.213","6.130","12.80M","-0.86%"
"01/09/2018","6.060","6.139","6.156","6.038","14.34M","-1.14%"
"01/10/2018","5.994","6.042","6.064","5.972","18.02M","-1.09%"
"01/11/2018","6.060","6.040","6.085","6.004","24.26M","1.10%"
"01/12/2018","6.107","6.066","6.122","6.064","15.51M","0.78%"
"01/15/2018","6.141","6.117","6.169","6.111","14.92M","0.56%"
"01/16/2018","6.266","6.173","6.313","6.163","26.60M","2.04%"
"01/17/2018","6.272","6.261","6.281","6.216","24.33M","0.10%"
"01/18/2018","6.219","6.290","6.290","6.180","24.41M","-0.85%"
"01/19/2018","6.245","6.206","6.277","6.167","45.78M","0.42%"
"01/22/2018","6.251","6.259","6.281","6.234","16.97M","0.10%"
"01/23/2018","6.296","6.285","6.328","6.255","23.16M","0.72%"
"01/24/2018","6.317","6.261","6.326","6.261","17.06M","0.33%"
"01/25/2018","6.288","6.332","6.356","6.249","18.08M","-0.46%"
"01/26/2018","6.257","6.332","6.333","6.257","11.78M","-0.49%"
"01/29/2018","6.189","6.236","6.236","6.161","13.51M","-1.09%"
"01/30/2018","6.126","6.158","6.184","6.098","13.96M","-1.02%"
"01/31/2018","6.133","6.126","6.146","6.094","15.41M","0.11%"
"02/01/2018","6.085","6.148","6.236","6.068","17.24M","-0.78%"
"02/02/2018","5.987","6.073","6.073","5.971","16.09M","-1.61%"
"02/05/2018","5.899","5.952","6.051","5.899","23.14M","-1.47%"
"02/06/2018","5.666","5.701","5.847","5.602","31.21M","-3.95%"
"02/07/2018","5.797","5.746","5.797","5.692","24.89M","2.31%"
"02/08/2018","5.696","5.740","5.769","5.683","43.66M","-1.74%"
"02/09/2018","5.591","5.654","5.694","5.568","30.25M","-1.84%"
"02/12/2018","5.692","5.630","5.701","5.606","21.12M","1.81%"
"02/13/2018","5.606","5.699","5.705","5.606","15.54M","-1.51%"
"02/14/2018","5.647","5.641","5.696","5.595","20.34M","0.73%"
"02/15/2018","5.654","5.679","5.690","5.576","15.23M","0.12%"
"02/16/2018","5.726","5.686","5.744","5.677","34.53M","1.27%"
"02/19/2018","5.711","5.740","5.759","5.686","11.43M","-0.26%"
"02/20/2018","5.752","5.690","5.767","5.690","16.50M","0.72%"
"02/21/2018","5.516","5.726","5.746","5.492","43.69M","-4.10%"
"02/22/2018","5.610","5.518","5.623","5.499","24.04M","1.70%"
"02/23/2018","5.709","5.576","5.711","5.544","23.44M","1.76%"
"02/26/2018","5.770","5.742","5.778","5.699","18.94M","1.07%"
"02/27/2018","5.769","5.761","5.798","5.733","15.59M","-0.02%"
"02/28/2018","5.683","5.726","5.769","5.683","21.53M","-1.49%"
"03/01/2018","5.664","5.660","5.735","5.632","21.11M","-0.33%"
"03/02/2018","5.544","5.625","5.654","5.537","20.09M","-2.12%"
"03/05/2018","5.653","5.518","5.668","5.510","13.86M","1.97%"
"03/06/2018","5.606","5.703","5.705","5.570","24.05M","-0.83%"
"03/07/2018","5.600","5.574","5.630","5.548","18.88M","-0.11%"
"03/08/2018","5.671","5.621","5.690","5.572","16.15M","1.27%"
"03/09/2018","5.660","5.669","5.718","5.604","15.15M","-0.19%"
"03/12/2018","5.666","5.720","5.761","5.658","19.52M","0.11%"
"03/13/2018","5.625","5.666","5.701","5.615","22.34M","-0.72%"
"03/14/2018","5.615","5.634","5.658","5.589","18.58M","-0.18%"
"03/15/2018","5.645","5.621","5.666","5.596","20.34M","0.53%"
"03/16/2018","5.611","5.626","5.647","5.611","39.01M","-0.60%"
"03/19/2018","5.566","5.611","5.615","5.557","20.26M","-0.80%"
"03/20/2018","5.537","5.555","5.583","5.525","20.47M","-0.52%"
"03/21/2018","5.518","5.538","5.572","5.479","18.69M","-0.34%"
"03/22/2018","5.419","5.481","5.553","5.389","27.18M","-1.79%"
"03/23/2018","5.391","5.378","5.419","5.342","23.54M","-0.52%"
"03/26/2018","5.398","5.413","5.447","5.376","14.93M","0.13%"
"03/27/2018","5.452","5.464","5.471","5.396","31.63M","1.00%"
"03/28/2018","5.653","5.424","5.653","5.402","19.94M","3.69%"
"03/29/2018","5.585","5.684","5.684","5.585","20.92M","-1.20%"
"04/03/2018","5.570","5.555","5.611","5.537","10.37M","-0.27%"
"04/04/2018","5.546","5.591","5.604","5.525","16.94M","-0.43%"
"04/05/2018","5.593","5.611","5.611","5.568","17.71M","0.85%"
"04/06/2018","5.621","5.593","5.649","5.580","9.74M","0.50%"
"04/09/2018","5.649","5.649","5.694","5.632","14.66M","0.50%"
"04/10/2018","5.638","5.675","5.677","5.589","13.47M","-0.19%"
"04/11/2018","5.737","5.643","5.761","5.643","34.62M","1.76%"
"04/12/2018","5.755","5.750","5.785","5.720","11.01M","0.31%"
"04/13/2018","5.849","5.769","5.862","5.746","20.53M","1.63%"
"04/16/2018","5.813","5.838","5.838","5.787","34.85M","-0.62%"
"04/17/2018","5.862","5.817","5.883","5.800","22.47M","0.84%"
"04/18/2018","5.890","5.864","5.905","5.840","19.79M","0.48%"
"04/19/2018","5.847","5.892","5.914","5.825","16.55M","-0.73%"
"04/20/2018","5.870","5.864","5.888","5.819","17.99M","0.39%"
"04/23/2018","5.860","5.877","5.886","5.821","18.37M","-0.17%"
"04/24/2018","5.892","5.836","5.942","5.827","11.88M","0.55%"
"04/25/2018","5.905","5.907","5.944","5.868","24.74M","0.22%"
"04/26/2018","5.939","5.928","5.972","5.911","21.29M","0.58%"
"04/27/2018","5.957","5.952","5.991","5.933","22.46M","0.30%"
"04/30/2018","6.000","5.961","6.047","5.952","19.14M","0.72%"
"05/02/2018","6.103","5.991","6.105","5.986","17.88M","1.72%"
