"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2018","8.1910","8.1720","8.2260","8.1300","12.89M","0.81%"
"01/03/2018","8.1660","8.2220","8.2270","8.1320","10.72M","-0.31%"
"01/04/2018","8.2950","8.2000","8.3270","8.1780","12.93M","1.58%"
"01/05/2018","8.3580","8.2730","8.3660","8.2540","10.92M","0.76%"
"01/08/2018","8.3700","8.3690","8.4060","8.3150","8.60M","0.14%"
"01/09/2018","8.3730","8.3110","8.4140","8.3100","10.66M","0.04%"
"01/10/2018","8.2740","8.3670","8.3960","8.2440","12.59M","-1.18%"
"01/11/2018","8.1800","8.3040","8.3080","8.1580","13.56M","-1.14%"
"01/12/2018","8.1990","8.2130","8.2540","8.1830","9.82M","0.23%"
"01/15/2018","8.2510","8.2030","8.2700","8.1690","8.96M","0.63%"
"01/16/2018","8.3160","8.2790","8.4070","8.2600","12.11M","0.79%"
"01/17/2018","8.2570","8.2860","8.3120","8.2390","9.48M","-0.71%"
"01/18/2018","8.2150","8.2610","8.2700","8.1820","9.57M","-0.51%"
"01/19/2018","8.2580","8.1800","8.2870","8.1370","13.57M","0.52%"
"01/22/2018","8.4170","8.2840","8.4600","8.2650","19.79M","1.93%"
"01/23/2018","8.4730","8.4900","8.5990","8.4650","18.67M","0.67%"
"01/24/2018","8.4230","8.4940","8.5130","8.4000","12.19M","-0.59%"
"01/25/2018","8.4090","8.4200","8.5800","8.3730","15.19M","-0.17%"
"01/26/2018","8.5030","8.4060","8.5380","8.3700","15.43M","1.12%"
"01/29/2018","8.4810","8.5420","8.5430","8.4080","12.49M","-0.26%"
"01/30/2018","8.3440","8.3990","8.4570","8.3300","18.34M","-1.62%"
"01/31/2018","8.2530","8.3480","8.3950","8.2140","16.55M","-1.09%"
"02/01/2018","8.1970","8.3100","8.3300","8.1530","15.34M","-0.68%"
"02/02/2018","8.0520","8.1920","8.2000","8.0080","20.06M","-1.77%"
"02/05/2018","7.8950","8.0000","8.0170","7.8950","19.54M","-1.95%"
"02/06/2018","7.6930","7.7200","7.8500","7.6540","29.62M","-2.56%"
"02/07/2018","7.8850","7.8090","7.9200","7.7140","24.86M","2.50%"
"02/08/2018","7.6560","7.8770","7.8770","7.6220","22.67M","-2.90%"
"02/09/2018","7.5220","7.6970","7.7120","7.4910","22.13M","-1.75%"
"02/12/2018","7.5970","7.6100","7.6740","7.5700","12.66M","1.00%"
"02/13/2018","7.4870","7.6120","7.6140","7.4610","15.80M","-1.45%"
"02/14/2018","7.4740","7.5060","7.5990","7.4630","13.84M","-0.17%"
"02/15/2018","7.4890","7.5210","7.5620","7.4510","12.39M","0.20%"
"02/16/2018","7.6360","7.5490","7.6530","7.5400","17.82M","1.96%"
"02/19/2018","7.6100","7.6620","7.7130","7.5600","10.23M","-0.34%"
"02/20/2018","7.6540","7.6100","7.6900","7.6030","11.72M","0.58%"
"02/21/2018","7.6400","7.7000","7.7120","7.5850","12.53M","-0.18%"
"02/22/2018","7.9300","7.6700","7.9790","7.6160","30.10M","3.80%"
"02/23/2018","8.0210","7.9430","8.0450","7.9220","17.86M","1.15%"
"02/26/2018","8.0900","8.0900","8.1240","7.9970","13.27M","0.86%"
"02/27/2018","8.0200","8.1100","8.1300","7.9690","14.73M","-0.87%"
